.tabfm_row_id,round_tier,position,height_inches,weight_lbs,bmi_proxy,weight_position_pct,height_position_pct,sophomore_feature_coverage,school_drafts_prior_5y,school_position_drafts_prior_5y,so_defensive_tot_pct,so_rushing_yds_pct,so_rush_yds_share_pct,so_defensive_solo_pct,so_receiving_yds_pct,so_rec_yds_share_pct,so_defensive_tfl_pct,so_defensive_pd_pct,so_defensive_sacks_pct,so_rush_share_pct,so_defensive_qb_hur_pct,so_receiving_td_pct,so_interceptions_int_pct,so_rushing_td_pct,so_passing_yds_pct,so_passing_td_pct,so_rec_td_share_pct,stars,recruit_rank,recruit_rating,recruit_rank_pct,recruit_rating_pct,years_since_recruit,blue_chip,power_conference,has_recruiting,has_sophomore_stats,has_junior_stats,junior_feature_coverage,transfer_or_school_mismatch
198,R6_7,CB,70,190,27.259183673469387,0.5924764890282131,0.09090909090909091,0.7804878048780488,0,0,0.5948717948717949,0.005128205128205128,0.005128205128205128,0.7538461538461538,0,0,0.9384615384615385,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,1,0,0,0
199,R2_3,IDL,76,222,27.019736842105264,0.028455284552845527,0.6448979591836734,0.8048780487804879,5,0,0.7246376811594203,0.007246376811594203,0.007246376811594203,0.6956521739130435,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1471,0.84,0.47457627118644063,0.4830508474576271,0,0,1,1,1,0,0,1
200,R4_5,WR,71,176,24.544336441182306,0.2305194805194805,0.262987012987013,0.8048780487804879,0,0,0.8545454545454545,0.01818181818181818,0.01818181818181818,0.9090909090909091,0.024242424242424242,0.024242424242424242,0,0,0,0,0,0,0,0,0,0,0,5,8,0.9962,1,1,3,1,0,1,1,0,0,0
201,R6_7,CB,73,191,25.196659786076186,0.7436281859070465,0.6931137724550899,0.8292682926829268,6,1,0.9968847352024922,0.006230529595015576,0.006230529595015576,0.9968847352024922,0.9595015576323987,0.9595015576323987,0.9065420560747663,1,0.9719626168224299,0,0,0,0.897196261682243,0,0,0,0,3,1716,0.8311,0.5561224489795918,0.5510204081632653,3,0,1,1,1,0,0,0
202,R6_7,WR,68,170,25.845588235294116,0.10869565217391304,0.021806853582554516,0.8536585365853658,2,1,0.9383561643835616,0.9794520547945206,0.9759450171821306,0.9486301369863014,0.9931506849315068,0.9931506849315068,0,0,0,0.9484536082474226,0,0.9726027397260274,0,0.9794520547945206,0,0,0.9827586206896551,,,,,,,,0,0,1,0,0,0
203,R6_7,RB,71,222,30.959333465582226,0.871313672922252,0.5349462365591398,0.8536585365853658,5,0,0,0.9029535864978903,0.8776371308016878,0,0.9113924050632911,0.890295358649789,0,0,0,0.9578059071729957,0,0,0,0.9282700421940928,0,0,0,,,,,,,,0,0,1,0,0,0
204,R1,IDL,71,300,41.83693711565166,0.8615384615384616,0.02702702702702703,0.8048780487804879,0,0,0.13612565445026178,0.005235602094240838,0.005235602094240838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,1,0,0,0
205,R1,IDL,77,305,36.163771293641425,0.8903846153846153,0.9015444015444015,0.8048780487804879,23,2,0.9476439790575916,0.005235602094240838,0.005235602094240838,0.9685863874345549,0,0,0.9790575916230366,0.9790575916230366,0.9895287958115183,0,0.8691099476439791,0,0,0,0,0,0,5,1,0.9995,1,1,2,1,1,1,1,0,0,0
206,R4_5,CB,74,210,26.95945945945946,0.974512743628186,0.8772455089820359,0.8048780487804879,44,7,0.9719626168224299,0.006230529595015576,0.006230529595015576,0.9875389408099688,0.003115264797507788,0.003115264797507788,0.9750778816199377,0.9844236760124611,0,0,0,0,0.897196261682243,0,0,0,0,5,4,0.9976,1,1,2,1,1,1,1,0,0,0
207,R2_3,IDL,78,312,36.05128205128205,0.9403846153846154,0.972972972972973,0.8048780487804879,28,2,1,0.005235602094240838,0.005235602094240838,0.9947643979057592,0,0,0.9738219895287958,0.9790575916230366,0.9685863874345549,0,0.9895287958115183,0,0.9581151832460733,0,0,0,0,5,12,0.9946,0.987012987012987,0.9935064935064936,2,1,1,1,1,0,0,0
208,R6_7,EDGE,74,247,31.70945945945946,0.5765765765765766,0.18018018018018017,0.8292682926829268,7,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,3,804,0.8652,0.6666666666666667,0.6666666666666666,2,0,1,1,1,0,0,0
209,R4_5,CB,70,183,26.254897959183673,0.4482758620689655,0.10778443113772455,0.8048780487804879,14,1,0.9657320872274143,0.006230529595015576,0.006230529595015576,0.9595015576323987,0.003115264797507788,0.003115264797507788,0.9750778816199377,0.9844236760124611,0.9719626168224299,0,0,0,1,0,0,0,0,4,51,0.9744,0.9897959183673469,0.9846938775510204,2,1,1,1,1,0,0,0
210,R1,QB,76,232,28.236842105263158,0.9769230769230769,0.8307692307692308,0.926829268292683,28,1,1,0.9838709677419355,0.9596774193548387,1,0.008064516129032258,0.008130081300813009,0,0,0,0.9274193548387096,0,0,0,0.9919354838709677,0.9758064516129032,0.9435483870967742,0,4,207,0.9204,0.9696969696969697,0.9696969696969697,2,1,1,1,1,0,0,0
211,R2_3,WR,74,204,26.18918918918919,0.860248447204969,0.6744548286604362,0.8536585365853658,23,1,0,0.9143835616438356,0.9106529209621993,0,0.9863013698630136,0.8595890410958904,0,0,0,0.8075601374570447,0,0.9726027397260274,0,0,0,0,0.9241379310344827,3,461,0.8848,0.8541666666666666,0.8385416666666666,2,0,1,1,1,0,0,0
212,R4_5,ILB,74,253,32.479729729729726,0.9915540540540541,0.6334459459459459,0.8292682926829268,16,2,0.9961977186311787,0.9847908745247148,0.9847908745247148,0.9923954372623575,0.0038022813688212928,0.0038022813688212928,1,1,0.9961977186311787,0.9771863117870723,1,0,0.844106463878327,0.9885931558935361,0,0,0,5,13,0.9935,1,1,2,1,1,1,1,0,0,0
213,R1,QB,76,230,27.99342105263158,0.9576923076923077,0.8307692307692308,0.926829268292683,15,1,0,0.9919354838709677,0.9838709677419355,0,0.008064516129032258,0.008130081300813009,0,0,0,0.9919354838709677,0,0,0,0.967741935483871,1,1,0,4,56,0.9724,1,1,1,1,1,1,1,0,0,0
214,R2_3,IDL,78,315,36.39792899408284,0.9461538461538461,0.972972972972973,0,41,3,,,,,,,,,,,,,,,,,,5,20,0.9897,0.9805194805194806,0.9805194805194806,1,1,,1,0,0,0,0
215,R6_7,WR,70,215,30.84591836734694,0.9549689440993789,0.14330218068535824,0.8536585365853658,31,3,0,0.8698630136986302,0.8556701030927835,0,0.976027397260274,0.9315068493150684,0,0,0,0.8694158075601375,0,0.7945205479452054,0,0,0,0,0.7310344827586207,4,262,0.9079,0.9322916666666666,0.9270833333333334,2,1,1,1,1,0,0,0
216,R2_3,CB,72,189,25.630208333333332,0.6146926536731634,0.5119760479041916,0.8048780487804879,6,2,0.9750778816199377,0.006230529595015576,0.006230529595015576,0.9750778816199377,0.003115264797507788,0.003115264797507788,0.9595015576323987,0.9595015576323987,0.9719626168224299,0,0,0,0.897196261682243,0,0,0,0,3,1716,0.8311,0.5561224489795918,0.5510204081632653,3,0,1,1,1,0,0,0
217,R2_3,CB,70,190,27.259183673469387,0.6266866566716641,0.10778443113772455,0.8048780487804879,2,0,0.9750778816199377,0.006230529595015576,0.006230529595015576,0.9750778816199377,0.003115264797507788,0.003115264797507788,0.9595015576323987,0.9595015576323987,0.9719626168224299,0,0,0,0.897196261682243,0,0,0,0,,,,,,,,1,0,1,0,0,0
218,R1,CB,72,196,26.579475308641975,0.8425787106446777,0.5119760479041916,0.8048780487804879,48,4,0.9875389408099688,0.006230529595015576,0.006230529595015576,0.9906542056074766,0.003115264797507788,0.003115264797507788,0.9065420560747663,0.9968847352024922,0,0,0,0,0.6853582554517134,0,0,0,0,4,51,0.9745,0.9897959183673469,0.9897959183673469,1,1,1,1,1,0,0,1
219,R2_3,RB,72,207,28.071180555555557,0.6595174262734584,0.728494623655914,0.8536585365853658,15,0,0.9029535864978903,0.6919831223628692,0.5822784810126582,0,0.6540084388185654,0.5991561181434599,0,0,0,0.5358649789029536,0,0.8143459915611815,0,0.890295358649789,0,0,0.8354430379746836,4,354,0.8956,0.9051724137931034,0.9137931034482759,1,1,1,1,1,0,0,0
220,R2_3,IDL,76,248,30.18421052631579,0.29615384615384616,0.7567567567567568,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
221,R6_7,WR,74,189,24.263513513513512,0.5574534161490683,0.6744548286604362,0.8292682926829268,0,0,0,0.03767123287671233,0.037800687285223365,0,0.3287671232876712,0.3287671232876712,0,0,0,0,0,0,0,0,0,0,0,3,2280,0.8081,0.30208333333333337,0.2916666666666667,1,0,0,1,1,0,0,0
222,R4_5,IDL,78,245,28.309500328731097,0.2326923076923077,0.972972972972973,0.8048780487804879,12,1,0.418848167539267,0.005235602094240838,0.005235602094240838,0.39790575916230364,0,0,0.7905759162303665,0,0,0,0,0,0,0,0,0,0,,,,,,,,1,0,1,0,0,0
223,R4_5,CB,75,212,26.49528888888889,0.9835082458770614,0.9625748502994012,0.8048780487804879,7,1,1,0.006230529595015576,0.006230529595015576,0.9968847352024922,0.003115264797507788,0.003115264797507788,0.9750778816199377,0.9719626168224299,0.9719626168224299,0,1,0,0.6853582554517134,0,0,0,0,3,923,0.8596,0.7755102040816326,0.7755102040816326,1,0,1,1,1,0,0,1
224,R1,CB,74,201,25.804054054054053,0.9385307346326837,0.8772455089820359,0.8292682926829268,16,2,0.9937694704049844,0.9875389408099688,0.9875389408099688,0.9937694704049844,0.003115264797507788,0.003115264797507788,0.9065420560747663,0.9937694704049844,0,0.9719626168224299,0,0,0.9906542056074766,0,0,0,0,4,312,0.9,0.9285714285714286,0.9285714285714286,2,1,1,1,1,0,0,1
225,R1,IDL,77,269,31.895260583572274,0.5384615384615384,0.9015444015444015,0.8048780487804879,18,2,0.9895287958115183,0.005235602094240838,0.005235602094240838,0.9895287958115183,0,0,0.9947643979057592,0,0.9947643979057592,0,0.9895287958115183,0,0,0,0,0,0,3,1063,0.8552,0.7012987012987013,0.7272727272727273,2,0,1,1,1,0,0,0
